vereador,faltas,faltas_abonadas,total_de_faltas,ano,nome_mes,mes
Val Ceasa,0,0,0,2018,novmebro,11
Vera Lins,0,0,0,2018,novmebro,11
Veronica Costa,3,0,3,2018,novmebro,11
Welington Dias,2,2,0,2018,novmebro,11
Willian Coelho,4,0,4,2018,novmebro,11
Zico,0,0,0,2018,novmebro,11
Zico Bacana,0,0,0,2018,novmebro,11
Alexandre Isquierdo,0,0,0,2018,dezembro,12
Babá,0,0,0,2018,dezembro,12
Carlo Caiado,0,0,0,2018,dezembro,12
Carlos Bolsonaro,3,0,3,2018,dezembro,12
Cesar Maia,0,0,0,2018,dezembro,12
Chiquinho Brazão,0,0,0,2018,dezembro,12
Cláudio Castro,0,0,0,2018,dezembro,12
Daniel Martins,4,0,4,2018,dezembro,12
David Miranda,4,0,4,2018,dezembro,12
Dr. Carlos Eduardo,0,0,0,2018,dezembro,12
Dr. Gilberto,0,0,0,2018,dezembro,12
Dr. Jairinho,1,0,1,2018,dezembro,12
Dr. João Ricardo,1,0,1,2018,dezembro,12
Dr. Jorge Manaia,1,1,0,2018,dezembro,12
Eliseu Kessler,0,0,0,2018,dezembro,12
Felipe Michel,0,0,0,2018,dezembro,12
Fernando William,0,0,0,2018,dezembro,12
Inaldo Silva,8,8,0,2018,dezembro,12
Italo Ciba,0,0,0,2018,dezembro,12
Jair da Mendes Gomes,0,0,0,2018,dezembro,12
Jones Moura,0,0,0,2018,dezembro,12
Jorge Felippe,0,0,0,2018,dezembro,12
Junior da Lucinha,0,0,0,2018,dezembro,12
Leandro Lyra,0,0,0,2018,dezembro,12
Leonel Brizola,2,0,2,2018,dezembro,12
Luciana Novaes,4,3,1,2018,dezembro,12
Luiz Carlos Ramos Filho,0,0,0,2018,dezembro,12
Marcelino D Almeida,0,0,0,2018,dezembro,12
Marcello Siciliano,1,1,0,2018,dezembro,12
Marcelo Arar,0,0,0,2018,dezembro,12
Otoni de Paula,5,0,5,2018,dezembro,12
Paulo Pinheiro,0,0,0,2018,dezembro,12
Prof.Célio Lupparelli,0,0,0,2018,dezembro,12
Professor Adalmir,0,0,0,2018,dezembro,12
Rafael Aloisio Freitas,0,0,0,2018,dezembro,12
Reimont,0,0,0,2018,dezembro,12
Renato Cinco,0,0,0,2018,dezembro,12
Renato Moura,0,0,0,2018,dezembro,12
Rocal,0,0,0,2018,dezembro,12
Rosa Fernandes,2,0,2,2018,dezembro,12
Tânia Bastos,0,0,0,2018,dezembro,12
Tarcísio Motta,0,0,0,2018,dezembro,12
Teresa Bergher,0,0,0,2018,dezembro,12
Thiago K. Ribeiro,0,0,0,2018,dezembro,12
Tiãozinho do Jacaré,1,0,1,2018,dezembro,12
Val Ceasa,0,0,0,2018,dezembro,12
Vera Lins,0,0,0,2018,dezembro,12
